Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
24909354;1 Bedroom Suite in North York - Yonge/Finch 3;1919294;Willowdale East;Entire home/apt;169;5;0;;;82;180;2020-06-08;Toronto;Canada;43.78004720350728, -79.41543366127291;Canada, Toronto, Willowdale East
38456698;Trilocale B&B La Scapola;17066833;Mattinata;Private room;65;1;0;;;1;326;2020-06-25;Puglia;Italy;41.72274018795214, 16.04835413911603;Italy, Puglia, Mattinata
36113124;Bright and Open Apt with Boho Vibe in Marrickville;269362319;Marrickville;Entire home/apt;90;2;2;2019-10-10;0.21;1;0;2020-06-11;Sydney;Australia;-33.914210540497244, 151.1408180815594;Australia, Sydney, Marrickville
39936116;Once upon a time in the Towerhouse of Terlizzi...;180161881;Terlizzi;Entire home/apt;50;1;0;;;1;88;2020-06-25;Puglia;Italy;41.13103254882655, 16.54286863329736;Italy, Puglia, Terlizzi
40190892;Affascinate casa (vera vista mare) con terrazze;18470554;Monopoli;Entire home/apt;210;6;1;2020-03-07;0.27;2;148;2020-06-25;Puglia;Italy;40.95280297328255, 17.302379743151867;Italy, Puglia, Monopoli
37615549;(4)One  Bed(Girls Dorm)Capsule CBD 5 min Town hall;277479503;Sydney;Shared room;34;1;15;2020-02-16;1.55;17;267;2020-06-11;Sydney;Australia;-33.87843001872021, 151.20507826994373;Australia, Sydney, Sydney
37869029;"Waterfront Elizabeth Bay Studio ""Esplanade""";33325403;Sydney;Entire home/apt;149;3;0;;;23;47;2020-06-11;Sydney;Australia;-33.86916218927158, 151.22751488258277;Australia, Sydney, Sydney
38364553;Sun drenched and luxurious Bondi Beach pad;92053290;Waverley;Entire home/apt;699;4;2;2020-02-15;0.37;1;362;2020-06-11;Sydney;Australia;-33.88670056249159, 151.2769406197036;Australia, Sydney, Waverley
38808572;20.1-a girl Bed, New Capsule, CBD,near Town hall;277479503;Sydney;Shared room;39;2;1;2019-12-03;0.16;17;158;2020-06-11;Sydney;Australia;-33.87702470139545, 151.2055439329129;Australia, Sydney, Sydney
38884568;1 bedroom appartment;142502694;Lane Cove;Entire home/apt;93;3;1;2020-01-04;0.19;1;0;2020-06-11;Sydney;Australia;-33.81613685076431, 151.1768862274246;Australia, Sydney, Lane Cove
39401226;Friendly suburban stay;38775856;Bankstown;Private room;147;3;1;2019-11-29;0.15;1;0;2020-06-11;Sydney;Australia;-33.9540245922583, 151.0109120090069;Australia, Sydney, Bankstown
39734313;Bundeena Ironbark 2;305405836;Sutherland Shire;Entire home/apt;130;1;12;2020-02-29;1.67;1;0;2020-06-11;Sydney;Australia;-34.0861244058354, 151.15108284980656;Australia, Sydney, Sutherland Shire
39996943;Brand New House;29421464;Blacktown;Entire home/apt;129;1;42;2020-06-06;6.33;1;174;2020-06-11;Sydney;Australia;-33.77256241081362, 150.89050993928004;Australia, Sydney, Blacktown
40208149;Darling Harbor/ICC/CBD super budget 1BR apartment;310536347;Sydney;Entire home/apt;137;1;26;2020-03-17;4.13;1;254;2020-06-11;Sydney;Australia;-33.87420256048113, 151.19630692760254;Australia, Sydney, Sydney
40218063;HomeHotel-NEW Resort Style 3Bedroom,Free Parking;189112177;Ryde;Entire home/apt;255;2;3;2020-01-25;0.48;68;0;2020-06-11;Sydney;Australia;-33.77974465617565, 151.1117635735964;Australia, Sydney, Ryde
40440459;BONDI BEACH PAD-Long/Short term lets avl: L'Abode;7409213;Waverley;Entire home/apt;119;1;0;;;149;213;2020-06-11;Sydney;Australia;-33.89161197753265, 151.2845367528772;Australia, Sydney, Waverley
40574973;Bondi Beach sand, surf and beautiful people;30035539;Waverley;Private room;100;2;1;2020-02-18;0.26;1;91;2020-06-11;Sydney;Australia;-33.890134855673026, 151.26246157212137;Australia, Sydney, Waverley
40645935;Quiet Private room in a family home;315184814;Lane Cove;Private room;60;3;22;2020-03-21;3.79;1;0;2020-06-11;Sydney;Australia;-33.817588208692854, 151.17997729878618;Australia, Sydney, Lane Cove
41016231;Romance between Water and Clouds;183611796;Auburn;Entire home/apt;199;1;8;2020-02-22;1.46;1;0;2020-06-11;Sydney;Australia;-33.82530364615167, 151.07975931544294;Australia, Sydney, Auburn
